PAWellID,County,Municipality,QuadName,WellAddress,WellZipCode,DateDrilled,TypeOfActivity,LatitudeDD,LongitudeDD,Driller,OriginalOwner,WellUse,WaterUse,WellDepth(ft),TopOfCasing(ft),BottomOfCasing(ft),CasingDiameter(in),DepthToBedrock(ft),BedrockNotReached,WellYield(gpm),StaticWaterLevel(ft),WaterLevelAfterYieldTest(ft),LengthOfTest(min),YieldMeasurementMethod,SaltwaterZone(ft),FormationName,PaperImageLink,Remark,
422445 ,ALLEGHENY ,PITTSBURGH , ,6680 FRANKSTOWN AVENUE , ,12/21/2007 ,WELL ABANDONMENT ,40.46417 ,-79.91472 , TERRA TESTING INC. ,EXXON ,MONITORING , ,18 , , , , ,False , ,9 , , , , , , , ,
422447 ,ALLEGHENY ,PITTSBURGH , ,6680 FRANKSTOWN AVENUE , ,12/21/2007 ,WELL ABANDONMENT ,40.46417 ,-79.91389 , TERRA TESTING INC. ,EXXON ,MONITORING , ,20.5 , , , , ,False , ,8.7 , , , , , , , ,
511363 ,ALLEGHENY ,ROBINSON TWP. , ,5290 Stuebenville Pike ,15205 ,12/21/2000 ,WELL ABANDONMENT ,40.44962 ,-80.1191 ,SUBSURFACE INC. ,Sunoco Inc. ,MONITORING , ,40 ,0 ,28 ,4 , ,False , ,0 , , , , , , , ,
511366 ,ALLEGHENY ,ROBINSON TWP. , ,5290 Stuebenville Pike ,15205 ,12/21/2000 ,WELL ABANDONMENT ,40.44962 ,-80.1191 ,SUBSURFACE INC. ,Sunoco Inc ,MONITORING , ,26 ,0 ,6 ,4 , ,False , ,26 , , , , , , , ,
272076 ,ALLEGHENY ,VERONA BORO , ,6310 LEECHBURG RD VERONA , ,12/21/1999 , , , , W. E. GLUNT DRILLING ,LORRAINE MEREDITH , , , , , , , ,False , , , , , , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM010618") , ,
272151 ,ALLEGHENY , , ,5733 BUTLER ST PITTSBURGH , ,12/21/1988 , , , , L G HETAGER DRILLING INC ,ATLANTIC RICHFIELD , , , , , , , ,False , , , , , , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM010717") , ,
504060 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.45843 ,-80.03404 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,10 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
504078 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.45843 ,-80.03404 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,5 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
504080 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.45854 ,-80.03391 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,10 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
504082 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.4583 ,-80.03427 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,15 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
504098 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.45847 ,-80.03408 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,15 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
504031 ,ALLEGHENY ,PITTSBURGH , ,1925 Preble Avenue ,15233 ,12/20/2012 ,WELL ABANDONMENT ,40.45843 ,-80.03404 , ODYSSEY ENVIRONMENTAL SERVICES INC. ,BP Preble Bulk Plant ,MONITORING , ,15 , , , , ,False , , , , , , , , ,Nested well/Tremie grout restore surface to match existing. ,
